index,o,d,demand
831,58,49,8.12843
832,58,50,8.669538
833,58,51,8.669538
834,58,54,14.435015
835,58,57,128.693118
836,58,59,23.668492
837,58,60,23.668492
838,58,61,18.936814
839,58,62,18.025677
840,58,63,18.025677
841,58,64,18.025677
842,58,65,18.025677
843,58,66,18.025677
844,58,67,19.992593
845,58,69,22.93063
846,59,1,0.584093
847,59,3,2.342811
848,59,6,6.160351
849,59,13,9.680315
850,59,14,9.680315
851,59,20,10.215358
852,59,21,1.070399
853,59,22,13.726485
854,59,23,117.686596
855,59,24,117.686596
856,59,25,117.686596
857,59,26,117.686596
858,59,29,13.372854
859,59,30,211.109733
860,59,31,211.109733
861,59,32,211.109733
862,59,33,211.109733
863,59,35,14.018481
864,59,54,33.092327
865,59,61,83.196113
866,59,62,58.257931
867,59,63,58.257931
868,59,64,58.257931
869,59,65,58.257931
870,59,66,58.257931
871,59,67,86.322694
872,59,69,251.253473
873,60,1,0.584093
874,60,3,2.342811
875,60,6,6.160351
876,60,13,9.680315
877,60,14,9.680315
878,60,20,10.215358
879,60,21,1.070399
880,60,22,13.726485
881,60,23,117.686596
882,60,24,117.686596
883,60,25,117.686596
884,60,26,117.686596
885,60,29,13.372854
886,60,30,211.109733
887,60,31,211.109733
888,60,32,211.109733
889,60,33,211.109733
890,60,35,14.018481
891,60,54,33.092327
892,60,61,83.196113
893,60,62,58.257931
894,60,63,58.257931
895,60,64,58.257931
896,60,65,58.257931
897,60,66,58.257931
898,60,67,86.322694
899,60,69,251.253473
900,61,1,0.550263
901,61,3,2.074518
902,61,6,4.333691
903,61,13,6.02138
904,61,14,6.02138
905,61,20,6.325123
906,61,21,1.015204
907,61,22,7.195995
908,61,23,15.216327
909,61,24,15.216327
910,61,25,15.216327
911,61,26,15.216327
912,61,29,7.102218
913,61,30,16.360618
914,61,31,16.360618
915,61,32,16.360618
916,61,33,16.360618
917,61,35,7.755535
918,61,54,11.362737
919,61,57,15.788832
920,61,58,20.615381
921,61,59,17.726091
922,61,60,17.726091
923,61,62,13.458986
924,61,63,13.458986
925,61,64,13.458986
926,61,65,13.458986
927,61,66,13.458986
928,61,67,14.497015
929,61,69,15.798465
930,62,1,0.546584
931,62,3,1.993297
932,62,6,3.935759
933,62,13,5.225736
934,62,14,5.225736
935,62,20,5.528133
936,62,21,0.978248
937,62,22,6.111092
938,62,23,10.979506
939,62,24,10.979506
940,62,25,10.979506
941,62,26,10.979506
942,62,29,6.066674
943,62,30,11.220804
944,62,31,11.220804
945,62,32,11.220804
946,62,33,11.220804
947,62,35,6.509325
948,62,54,9.048537
949,62,57,11.902776
950,62,58,14.019985
951,62,59,12.142594
952,62,60,12.142594
953,62,61,10.181054
954,62,67,10.781305
955,62,69,11.633072
956,63,1,0.546584
957,63,3,1.993297
958,63,6,3.935759
959,63,13,5.225736
960,63,14,5.225736
961,63,20,5.528133
962,63,21,0.978248
963,63,22,6.111092
964,63,23,10.979506
965,63,24,10.979506
966,63,25,10.979506
967,63,26,10.979506
968,63,29,6.066674
969,63,30,11.220804
970,63,31,11.220804
971,63,32,11.220804
972,63,33,11.220804
973,63,35,6.509325
974,63,54,9.048537
975,63,57,11.902776
976,63,58,14.019985
977,63,59,12.142594
978,63,60,12.142594
979,63,61,10.181054
980,63,67,10.781305
981,63,69,11.633072
982,64,1,0.546584
983,64,3,1.993297
984,64,6,3.935759
985,64,13,5.225736
986,64,14,5.225736
987,64,20,5.528133
988,64,21,0.978248
989,64,22,6.111092
990,64,23,10.979506
991,64,24,10.979506
992,64,25,10.979506
993,64,26,10.979506
994,64,29,6.066674
995,64,30,11.220804
996,64,31,11.220804
997,64,32,11.220804
998,64,33,11.220804
999,64,35,6.509325
1000,64,54,9.048537
1001,64,57,11.902776
1002,64,58,14.019985
1003,64,59,12.142594
1004,64,60,12.142594
1005,64,61,10.181054
1006,64,67,10.781305
1007,64,69,11.633072
1008,65,1,0.546584
1009,65,3,1.993297
1010,65,6,3.935759
1011,65,13,5.225736
1012,65,14,5.225736
1013,65,20,5.528133
1014,65,21,0.978248
1015,65,22,6.111092
1016,65,23,10.979506
1017,65,24,10.979506
1018,65,25,10.979506
1019,65,26,10.979506
1020,65,29,6.066674
1021,65,30,11.220804
1022,65,31,11.220804
1023,65,32,11.220804
1024,65,33,11.220804
1025,65,35,6.509325
1026,65,54,9.048537
1027,65,57,11.902776
1028,65,58,14.019985
1029,65,59,12.142594
1030,65,60,12.142594
1031,65,61,10.181054
1032,65,67,10.781305
1033,65,69,11.633072
1034,66,1,0.546584
1035,66,3,1.993297
1036,66,6,3.935759
1037,66,13,5.225736
1038,66,14,5.225736
1039,66,20,5.528133
1040,66,21,0.978248
1041,66,22,6.111092
1042,66,23,10.979506
1043,66,24,10.979506
1044,66,25,10.979506
1045,66,26,10.979506
1046,66,29,6.066674
1047,66,30,11.220804
1048,66,31,11.220804
1049,66,32,11.220804
1050,66,33,11.220804
1051,66,35,6.509325
1052,66,54,9.048537
1053,66,57,11.902776
1054,66,58,14.019985
1055,66,59,12.142594
1056,66,60,12.142594
1057,66,61,10.181054
1058,66,67,10.781305
1059,66,69,11.633072
1060,67,1,0.541428
1061,67,3,2.007721
1062,67,6,4.005885
1063,67,13,5.383699
1064,67,14,5.383699
1065,67,20,5.685916
1066,67,21,0.979881
1067,67,22,6.328726
1068,67,23,11.91284
1069,67,24,11.91284
1070,67,25,11.91284
1071,67,26,11.91284
1072,67,29,6.270266
1073,67,30,12.547047
1074,67,31,12.547047
1075,67,32,12.547047
1076,67,33,12.547047
1077,67,54,56.919569
1078,67,57,12.231377
1079,67,58,14.879226
1080,67,59,13.339367
1081,67,60,13.339367
1082,67,61,10.724136
1083,67,62,10.834004
1084,67,63,10.834004
1085,67,64,10.834004
1086,67,65,10.834004
1087,67,66,10.834004
1088,67,69,194.332498
1089,69,1,0.580411
1090,69,3,2.225744
1091,69,6,5.385822
1092,69,13,12.417476
1093,69,14,12.417476
1094,69,20,8.490513
1095,69,21,3.624397
1096,69,22,57.006301
1097,69,29,16.350051
1098,69,30,44.807886
1099,69,31,44.807886
1100,69,32,44.807886
1101,69,33,44.807886
1102,69,54,624.560928
1103,69,57,43.638067
1104,69,58,141.860661
1105,69,59,57.598934
1106,69,60,57.598934
1107,69,61,28.856281
1108,69,62,28.685999
1109,69,63,28.685999
1110,69,64,28.685999
1111,69,65,28.685999
1112,69,66,28.685999
1113,69,67,310.301041
